Number;Collegue
61;Connecticut
188;North Carolina-Wilmington
114;Iowa
219;Providence
238;Seward County Community College
206;Old Dominion
267;Temple
95;Georgia Tech
255;St. John's (NY)
314;Washington State
277;Texas Tech
237;Seton Hall
7;American International
145;Massachusetts
172;Murray State
255;St. John's (NY)
72;Drexel
134;Louisiana State
130;Long Beach State
179;New Mexico
155;Michigan
145;Massachusetts
95;Georgia Tech
212;Pennsylvania
156;Michigan State
162;Missouri
138;Louisville
90;Georgetown
135;Louisiana Tech
219;Providence
90;Georgetown
11;Arkansas
305;Virginia
54;Cincinnati
106;Illinois
186;North Carolina State
168;Montevallo
263;Stetson
311;Wake Forest
316;West Florida
199;Notre Dame
289;UCLA
120;Kansas State
89;George Washington
219;Providence
185;North Carolina
332;Xavier
327;Wisconsin
93;Georgia Southern
234;San Diego State
204;Oklahoma
289;UCLA
148;Memphis
171;Mt. San Antonio
2;Alabama
135;Louisiana Tech
155;Michigan
9;Arizona
95;Georgia Tech
224;Richmond
265;Syracuse
96;Gonzaga
205;Oklahoma State
71;Detroit Mercy
305;Virginia
185;North Carolina
12;Arkansas-Little Rock
144;Maryland
11;Arkansas
147;McNeese State
252;Southern Mississippi
220;Purdue
155;Michigan
308;Virginia Tech
142;Marquette
202;Ohio State
185;North Carolina
199;Notre Dame
106;Illinois
106;Illinois
95;Georgia Tech
91;Georgia
123;La Salle
116;Jackson State
11;Arkansas
265;Syracuse
2;Alabama
62;Coppin State
166;Montana
177;Nevada-Las Vegas
40;California
273;Texas
115;Iowa State
199;Notre Dame
9;Arizona
156;Michigan State
185;North Carolina
40;California
114;Iowa
67;DePaul
76;Eastern Illinois
304;Villanova
185;North Carolina
275;Texas Christian
172;Murray State
53;Central State (OH)
265;Syracuse
204;Oklahoma
122;Kentucky
144;Maryland
159;Minnesota
330;Wright State
186;North Carolina State
148;Memphis
99;Hartford
81;Florida
289;UCLA
332;Xavier
67;DePaul
208;Oregon
10;Arizona State
156;Michigan State
220;Purdue
236;Santa Clara
9;Arizona
268;Tennessee
95;Georgia Tech
67;DePaul
13;Auburn
301;Vanderbilt
91;Georgia
159;Minnesota
67;DePaul
237;Seton Hall
155;Michigan
329;Wisconsin-Stevens Point
331;Wyoming
280;Texas-El Paso
199;Notre Dame
123;La Salle
11;Arkansas
186;North Carolina State
296;Utah
134;Louisiana State
186;North Carolina State
122;Kentucky
164;Missouri-Kansas City
144;Maryland
142;Marquette
288;Tulsa
289;UCLA
95;Georgia Tech
89;George Washington
323;Wichita State
95;Georgia Tech
204;Oklahoma
177;Nevada-Las Vegas
265;Syracuse
