age;player_height;player_weight;college;country;draft_year;draft_round
22;213.36;106.59412;Connecticut;USA;1996;1
27;210.82;106.59412;North Carolina-Wilmington;USA;1992;2
30;208.28;106.59412;Iowa;USA;Undrafted;Undrafted
29;210.82;111.13004;Providence;USA;Undrafted;Undrafted
22;205.74;106.59412;None;USA;1996;1
22;198.12;102.0582;Seward County Community College;USA;1995;2
36;208.28;111.583632;Old Dominion;USA;1983;2
26;208.28;99.79024;Temple;USA;Undrafted;Undrafted
33;182.88;81.64656;Georgia Tech;USA;1986;2
32;190.5;83.91452;St. John's (NY);USA;1987;1
23;205.74;99.79024;Washington State;USA;1996;2
24;200.66;95.25432;Texas Tech;USA;1995;2
32;205.74;111.13004;Seton Hall;USA;1988;1
28;208.28;120.20188;None;USA;Undrafted;Undrafted
33;195.58;95.25432;American International;USA;1985;7
23;210.82;99.79024;Massachusetts;USA;1996;1
23;190.5;83.91452;Murray State;USA;1996;2
27;203.2;90.7184;St. John's (NY);USA;1992;1
22;200.66;113.398;Drexel;USA;1996;2
28;185.42;73.481904;Louisiana State;USA;1990;1
26;195.58;92.98636;Long Beach State;USA;1993;2
28;218.44;132.448864;New Mexico;USA;1991;1
29;205.74;108.86208;Michigan;USA;1990;1
24;200.66;99.79024;Massachusetts;USA;1995;2
27;215.9;111.13004;Georgia Tech;USA;1992;2
25;190.5;90.7184;Pennsylvania;USA;Undrafted;Undrafted
27;200.66;102.0582;Michigan State;USA;1992;2
24;187.96;83.91452;Missouri;USA;Undrafted;Undrafted
30;205.74;95.25432;Louisville;USA;1989;1
34;213.36;108.86208;Georgetown;Jamaica;1985;1
27;210.82;108.86208;Louisiana Tech;USA;1992;2
34;208.28;111.583632;Providence;USA;1984;1
23;205.74;106.59412;Georgetown;USA;1996;2
27;205.74;140.61352;Arkansas;USA;1992;1
32;213.36;113.398;Virginia;USA;1987;1
25;185.42;83.007336;Cincinnati;USA;1993;2
29;198.12;103.418976;Illinois;USA;1989;1
32;195.58;90.7184;North Carolina State;USA;1986;2
23;195.58;97.52228;Montevallo;USA;Undrafted;Undrafted
27;205.74;104.32616;Stetson;USA;Undrafted;Undrafted
32;160.02;63.956472;Wake Forest;USA;1987;1
23;187.96;85.275296;West Florida;USA;1996;2
25;203.2;102.0582;Notre Dame;USA;1994;1
26;195.58;95.25432;UCLA;USA;Undrafted;Undrafted
32;195.58;97.52228;Kansas State;USA;1988;1
33;208.28;117.93392;George Washington;USA;1985;3
25;203.2;104.32616;Providence;USA;1994;2
